date,Sleep Latency,Respiratory Rate,Awake Time,Average Resting Heart Rate,REM Sleep Duration,Deep Sleep Duration,Light Sleep Duration,Sleep Efficiency,Temperature Trend Deviation,Lowest Resting Heart Rate,Temperature Deviation (°C),Activity Score,Total Sleep Duration,Total Bedtime ,Average HRV,Sleep Score,Readiness Score,Steps
2026-06-07,390,18.75,2400,77.88,5310,5190,18000,92,None,63,-0.06,89,28500,30900,25,72,48,3063
2026-06-08,870,17.5,1210,51.59,5520,6030,8790,94,None,48,0.5,98,20340,21550,99,84,81,11840
2026-06-09,360,17.125,1990,51.48,4350,5760,9270,91,-0.02,48,-0.21,95,19380,21370,100,60,72,7302
2026-06-10,900,16.5,1411,49.15,3390,5790,8280,93,-0.18,45,-0.47,94,17460,18871,98,63,65,9851
2026-06-11,450,16.75,2303,50.8,8340,7920,14430,93,-0.11,46,-0.09,97,30690,32993,97,81,81,8530
2026-06-12,390,17.125,1834,51.38,7110,6810,17310,94,-0.17,46,-0.13,93,31230,33064,92,82,76,6412
2026-06-13,600,16.875,1576,48.77,7050,7230,13470,95,-0.18,43,-0.04,89,27750,29326,104,80,76,3313
2026-06-14,810,16.625,1643,48.68,7140,6840,13200,94,-0.16,44,-0.38,90,27180,28823,104,78,78,5668
2026-06-15,780,16.625,1813,48.51,9810,7680,16470,95,-0.1,43,-0.23,90,33960,35773,106,88,85,7450
2026-06-16,870,16.75,1327,46.95,7830,5460,15720,96,-0.06,43,-0.04,86,29010,30337,110,81,75,6007
2026-06-17,810,16.125,1760,46.35,5460,6600,11460,93,-0.34,41,-0.5,84,23520,25280,107,73,76,10888
2026-06-18,840,16.375,3092,47.35,7230,7170,15390,91,-0.04,42,0.05,82,29790,32882,99,81,82,7530
2026-06-19,1230,16.25,2870,45.67,5640,4740,13290,89,-0.15,40,-0.2,71,23670,26540,118,66,77,5304
2026-06-20,630,17.875,1941,51.28,7200,5460,15000,93,-0.19,46,-0.23,90,27660,29601,88,74,80,9347
2026-06-21,1440,17.75,13036,50.96,7860,5640,19350,72,0.1,46,0.11,89,32850,45886,96,76,83,2785
2026-06-22,1260,17.125,2174,48.09,7050,6540,10200,92,-0.01,43,0.08,84,23790,25964,90,74,79,4433
2026-06-23,660,17.0,2174,48.09,4650,8340,9270,91,0.01,43,0.12,88,22260,24434,97,65,81,2281
2026-06-24,1140,16.75,2961,45.96,4980,6150,9990,88,-0.21,42,-0.91,78,21120,24081,103,64,82,4934
2026-06-25,690,None,967,58.0,30,420,2370,74,0.09,57,None,82,2820,3787,68,38,51,6546
2026-06-26,360,18.375,7346,53.52,5820,6180,15900,79,0.27,44,0.81,88,27900,35246,90,79,73,11086
2026-06-27,1890,17.125,3317,48.28,3270,4740,18030,89,-0.25,43,0.31,89,26040,29357,122,80,79,15972
2026-06-28,930,17.25,2357,49.28,4260,1290,14580,90,0.66,45,0.49,86,20130,22487,106,54,71,5764
2026-06-29,4110,16.75,6313,48.29,7530,6780,13530,82,0.39,42,-0.09,89,27840,34153,109,67,78,11645
2026-06-30,960,16.375,3504,46.71,6720,4740,14400,88,0.22,43,-0.11,91,25860,29364,104,74,78,6364
2026-07-01,300,17.5,2634,48.9,5160,5460,13020,90,0.07,45,-0.39,97,23640,26274,99,69,79,20035
2026-07-02,570,17.875,2479,52.51,6480,6420,16200,92,-0.05,46,-0.11,84,29100,31579,81,81,79,4792
2026-07-03,960,17.125,2289,49.96,4350,5520,14730,91,0.02,42,0.25,94,24600,26889,107,72,77,17446
2026-07-04,720,17.5,2271,49.01,4230,7530,10830,91,-0.1,44,0.08,89,22590,24861,105,75,72,6222
2026-07-05,450,16.75,1523,46.5,7170,6840,15060,95,-0.06,42,-0.32,89,29070,30593,128,88,84,6490
